Review Text,Actual Sentiment,Predicted Sentiment,Original Rating
daftar susah aplikasi tolol,negative,negative,5
daftar sulit login error aplikasi perintah ga bener benernya heran,negative,negative,5
aplikasi sebal repot pasword daftar berbelitbelit minggu ngak buka pasword pakai biometrik ngak mempan ganti bug glitch ngak baik ngak maju,neutral,neutral,5
pokoke yess,neutral,neutral,5
beli bintang aplikasi mobile jkn gagal coba jaring system error tp kasih bintang mobile jkn,negative,negative,1
ga antri online ganggu mulu,neutral,neutral,5
verifikasi wajah gagal repot banget udah aktifin biometrik pas login susah input password banget logout coba tolong baik aplikasi,negative,negative,1
bantu guna fasilitas bpjs terimakasihh moga tingkat layan,neutral,neutral,5
sagat agus,neutral,neutral,5
kelogout mulu data kaya ga save trus password salah dah bener,neutral,neutral,5
mohon layan nya tingkat,neutral,neutral,5
bantu utk daftar rs,neutral,neutral,5
layan yg,neutral,neutral,4
parahh sekali nomor telepon ngga stuk pilih metode verifikasi pilih tera tolong baik kalo mudah masyarakat bingung masyarakat,positive,positive,1
mudah daftar obat,positive,positive,1
cepat akurat hebat,positive,positive,5
daftar susah otp smswa nunggu tetep gak muncul,negative,negative,5
makasiih,neutral,neutral,5
mudah,positive,positive,5
proses aktif byr,neutral,neutral,5
tingkat,neutral,neutral,1
selfia aja susah banget,negative,negative,5
apk nya lot gak bilang nya no handphone gak aktif aktif emang bener sabar habis apk nya,neutral,neutral,5
jadwal dokter yg dalam aplikasi sesuai jam dokter udah pulang aplikasi jam operasional yg anggap telat jam telat jadwal operasional kali dokter ikut jadwal yg aplikasi tunggu dadi jam jam tolong jadwal yg yg,neutral,neutral,5
kau nih ape nyusahin rakjel aja daftar offline marah satpam suster daftar online sulit tabok gimana coba mbah udah sepuh gak paham gadget internet au ah gelap,negative,negative,3
hari ngurus login app bpjs banting hp keluh login bilang akun daftar blm krn sblmnya bpjs tanggung keluarga tpi krn umur pbpu jdi arah bikin akun gmn solusi ya biar daftar bikin akun tolong solusi check up sehat nih,positive,positive,5
bagus bgtga ribet,positive,positive,4
apk ga gamau kirim kode otp udah nyoba kali ttp gabisaaaa,neutral,neutral,5
aplikasi belit belit orang udah nunggu antri aplikasi error buka indonesia kondisiny aplikasi error orang udah antri aplikasi buka aplikasi bosok,negative,negative,1
mudah kerja,positive,positive,5
bagus tp rubah no hp krn pakai serta,positive,positive,5
knp y aplikasi ni jarang d buka trus hrus login knp otomatis login password y kk org suka lupa no passwordtolong d baik otomatis,positive,positive,5
baikdan mudah,positive,positive,5
lupa sandi verifikasi nomor hp aja udah ga kondisi urgen,neutral,neutral,3
maaf kasih puas masuk buka aplikasi isi data,positive,positive,5
sorry tentu wajib ubah password kala nyusahin ortu logout otomatis screenshot nomor antri mending kalo appsnya gampang akses faskes mah,neutral,neutral,5
keren apknya,neutral,neutral,1
pas,neutral,neutral,5
mantab joosss,neutral,neutral,2
aplikasi bantu trimakasih,neutral,neutral,1
muter stuck hmmm tolong aja aja msih becus gimana,neutral,neutral,1
mantap guys,positive,positive,1
solusi mobil jkn lebih akunjd login,positive,positive,5
layan bpjs sehat rumah sakit batas,neutral,neutral,5
apk susah ganti sandi nunggu udah dapet kode invalid ga sulit bgt,negative,negative,5
no kk ga d edit aneh,negative,negative,5
mudah guna,positive,positive,5
ambil nomor antri ambil nomor muncul tulis ya lupa inti kaya sistem error gitu kirain dapet antri no eh pilih tanggal kunjung kuota udah full bain begadang mulut diam hati ga diam,negative,negative,2
gampang terimakasih jkn,neutral,neutral,4
gimana jkn kayak gin install sampe program progam dalem gabisa buka riwayat pemabayaran doang akses sisa gabisa,neutral,neutral,5
ubah data susahnyaa ampun suruh coba tuwerusss sampe aplikasi kayak gin skrg jkn semuatp aplikasi kayak gin gimana efisien efektif tolong cpt baik,positive,positive,1
masuk jkn susah bgt dah,negative,negative,5
aplikasi eror mulu dah,neutral,neutral,5
moga layan nya,neutral,neutral,5
layan sy muas,neutral,neutral,5
layan manfaat bantu,neutral,neutral,5
nungguin kode otp kirim kirim admin tidur yah bug kaya gin baik,positive,positive,5
woy aplikasi sampah loading capatcha banget sampah,negative,negative,5
aplikasi negri kadang rada rada,neutral,neutral,5
gilir anti hp sy sah masuk padah nik dah bnr pasford jg bnr,neutral,neutral,5
kasih bintang,neutral,neutral,1
mudah bantu desak perihal sehat sukses jkn,positive,positive,1
bagus muas,positive,positive,1
,neutral,neutral,5
gak verifikasi wajah sms email,neutral,neutral,1
nggak login update,neutral,neutral,2
suka ngebug jaring aplikasinyapadahal data wifi lancar lancar aja,positive,positive,5
alhamdulillah bantu aplikasi,neutral,neutral,5
kemarin daftar online minggu daftar online baik jkn,positive,positive,1
mobile jkn tolong sedia fitur download nomor antre daftar antre ga screenshot repot,negative,negative,5
gak login udah lupa sandi udah masukin nik nomor hp daftar muncul minta akses aplikasi kembang pakai anggar negara loh ya aplikasi kembang anak kuliah skripsi ayolahhh woi,neutral,neutral,5
mudah,positive,positive,5
mantap mudah aplikasi mobile jkn,positive,positive,4
daftar bisabunyinya gagal connect rs,negative,negative,4
bener aplikasi sulit orang sakit,negative,negative,1
daftar logout masuk,neutral,neutral,5
,neutral,neutral,2
bantu keluarga bangetttttt,neutral,neutral,5
layan sugguh busuk,neutral,neutral,5
hadehhh nunggu menit kode otp pas udah habis nggak no hp udah bener,neutral,neutral,1
bagus mebantu,positive,positive,5
guna aplikasi mudah,positive,positive,5
okok bgt,neutral,neutral,1
aplikasi kereeeen bantu masyarakat moga iur naik,neutral,neutral,5
klo bpjs sllu sulit,negative,negative,1
bagus pelayananya batu,positive,positive,5
cepat t n gap sigap,positive,positive,5
nggk hubung rumah sakit server gagal,negative,negative,5
update ngebug tagih bayar pemberitahuan tunggak tagih aneh aplikasi,negative,negative,5
bantu anak,neutral,neutral,1
aplikasi yg adaptif,neutral,neutral,1
logout login device tdk login device capthca muncul tolong baik ya,positive,positive,1
update eror terussssss,neutral,neutral,5
aplikasi dobol,neutral,neutral,5
aplikasi mobile jkn bantu terimakasih,neutral,neutral,5
kode verifikasi terima laku,neutral,neutral,5
otp ngga masuk udh utak atik masuk,neutral,neutral,2
aplikasi jkn bantu baik aplikasi log out,positive,positive,1
mudah simple layan yg baik lindung jamin sehat,positive,positive,1
download ya gak daftar,neutral,neutral,5
aplikasi bantu tpi error mana kadang booking online faskes tingkat kga muncul opsi rujuk kontrol booking saran next update tolong tambah dual akun clone whatsapp mudah milik bpjs beda akun,neutral,neutral,5
alhamdulillah data langsung nge link ribet pindah paskes yg bahar medika depok tgl pindah kampung halaman klinik saroja moga mudah laku proses guna manfaat faskes tsb dn yg sehat,positive,positive,1
aktif log in biometrik kali log in biometrik kali log in notif log in karna aktif log in biometrik aneh banget udah gitu captcha gak login manual,negative,neutral,5
layan mantab,neutral,neutral,1
aplikasi bantu mudah moga manfaat guna jkn mobile terimakasih,positive,positive,5
serba mudah berkat jkn,positive,positive,5
pegaduan langsung close sempat unggah kronologitolong layan publik perhati pasien batas fungsi jkn online suruh besok lusa parah,negative,negative,5
daftar dokter jkn ga bs langsung rs app jkn error dg alas jadwal dokter nelum sedia hari daftar gagal coba hubung rs tp hasil nihil suruh hubung jkn atur ga akomodir,negative,negative,5
kesini kacau bolak ga masuk pdhl dah pake lancar lancar aja parah,negative,negative,1
ngehang,neutral,neutral,1
aplikasih lelet dunia sehat,negative,negative,5
responsif mudah cepat,positive,positive,5
daftar rumah antri,neutral,neutral,5
oke ubah faskes mudah,positive,positive,5
pulih niih jkn,neutral,neutral,2
kode otp ga muncul kecewa,negative,negative,1
ambil nomor antri error login,negative,negative,5
pas verifikasi nomor kolom pilih nya kosong,neutral,neutral,4
verifikasi muka aja susah ampundancookkkkkkkkkkkkk,negative,negative,5
bantu trimakasih,neutral,neutral,5
email daftar aplikasi nyatapi verifikasi ulang email daftar,neutral,neutral,5
puas layan sehat mobil jkn,positive,positive,5
kali kali instal,neutral,neutral,5
kadang kadang ga,neutral,neutral,5
mohon maaf tambah serta gak suruh masuk nomor kk udah nomor gk ganti hadeehh,neutral,neutral,5
aplikasi perintah error mulu login coba lagi minimal benerin kek,negative,negative,5
ribet dapat kode otp payah,negative,negative,1
mantap cepat akurat,positive,positive,5
gin temen masalah kode otp gak masuk disclaimer buzzer netral sharing info kode otp no telp masuk simple temen jawabanya pulsa sistem aplikasi antara kaya kirim pesan gt tpi pakai pulsa pribadi kesimpulanya daftar siapin pulsa rupiah kode otp temen sekian trimakasih,negative,neutral,5
ganguan mulu niat nggak sih bikin aplikasi,neutral,neutral,5
aplikasi sampah nunggu kode otp banget gak muncul muncul nomor hp udah bener jaring udah bagus aja gak muncul negara wajib negara susah aplikasi sampah ampas gak,negative,negative,4
ok aplikasi mantaf jaya kurang layan puskesmas,negative,negative,5
log out mulu ngeribetin bgt aplikasi mudah bkin sulit,neutral,neutral,5
kemaren udah bagus ga screenshot nunjukin nomor antri ribet kudu buka aplikasi gak onlen seta,positive,positive,5
daftar gak dapet kode referal,neutral,neutral,1
muas bantu,neutral,neutral,1
bagus aplikasi,positive,positive,3
mudah iya pas puskemas aplikasi eror udah daftar daftar hilang ga periksa gigi pasahal sakit sakit gimana sih tolong dibenerin gin aplikasi terimaskasih moga dengar tindak lanjut,positive,positive,5
layan terbaikuntuk depan tambah opsi yg lengkap,neutral,neutral,5
obat aja sulit bayar aplikasi jelek susah masukaplikasi logout tolong baik aplikasi,negative,negative,5
keren,neutral,neutral,5
kecewa aplikasi lupa sandi nomor wa ga dlu daftar email ubah no hp upload foto gagal seribet sungguh buruk,negative,negative,5
sulit verifikasi wajah pesan autentikasi verifikasi kirim pulsa haduhhhhhh sulit,negative,negative,5
logout gilir masuk nik n pw salah susah tolong baik aplikasi tdk logout,neutral,neutral,5
aplikasi jelek masuk,negative,negative,5
lelet,negative,negative,5
bantu pilih pasilitas sehat,neutral,neutral,1
ngerubah faskes pertama gampang dn ga ribet,neutral,neutral,5
aplikasi busuukkk login susah pake sms gak email gak mesti gimana coba kalo pake sms pulsa tetep aja gak,negative,negative,5
kirim kode otp susah pagi nggak kirim kode otpnya butuh banget ngirim kode otp kode verifikasi email masuk,negative,negative,1
aplikasi bantu mudah ganti alamat nomer hp email,positive,positive,1
knpa sya buka aplikasi jkn menu iur bayar blom muncul bayar tgl blom muncul tagihanya,neutral,neutral,5
moga sehat lancar,neutral,neutral,1
aplikasi logout gak logout,neutral,neutral,5
bayar iur bpjs bln juli pake online mandir jd ngga adangga nya knp yah,neutral,neutral,5
gak masuk gmna mobile jln sistem anak sd,neutral,neutral,5
ubah faskes dgn cepat,positive,positive,5
ribet,neutral,neutral,5
aplikasi perintah eror kode otp gak kirim kirim,neutral,neutral,5
download,neutral,neutral,5
kode otpnya woi aplikasi rusak,negative,negative,5
layan nya ramah,neutral,neutral,1
bagus,positive,positive,5
kode captcha muncul hapus data cache jg bolak instal versi baru jg ganti hp tolong baik masak jadul bawa kartu faskes gak banyak fitur ngurusin captcha nya aja ga,positive,positive,5
aplikasi bagus mudah obat fasilitas sehat,positive,positive,5
verifikasi wajah susah sekalipadahal ubah data kantor,negative,negative,5
coba kali kali kode otp adabagaimana,neutral,neutral,1
susah login masalah,negative,negative,1
uda kasih sabar berbulanbulan buka login captca susah baca ga pakai ie server pakai kentang,negative,negative,1
login,neutral,neutral,1
jkn kubu kaunapo nak update daftar jengkel tau tidakkau,neutral,neutral,5
mudah guna,positive,positive,5
bantu rakyat sulit rakyat verifikasi wajah aja ampe ga terang tulis udah lakuin tetep aja suruh verifikasi ulang aneh nya bantu sulit,negative,negative,5
mudah layan aamiin,positive,positive,1
baik otp no handphone nya woi tolol bikin,positive,positive,1
knp aplikasi jkn nya loding gak daftr,neutral,neutral,1
ga gausah so ikutin kembang zaman ko pake teknologi proper gw heran aplikasi perintah cacat banget why anggar segitu gede bikin aplikasi hasil kaya buat anak sd mentingin tampil doang kelas aplikasi perintah pake server aja lot kaya gin nya maintenance bener segitu nya orang complain diem gaada update ga gimana si develop nya,neutral,neutral,3
ko kode verifikasi gk masuk masuk sih dah brapa minggu daftar pake nomor beda gk,neutral,neutral,5
susah banget dapet verifikasi paket data udah pulsa tapi ga kode verifikasi yg masuk sulit,negative,negative,5
layan baikbagus muas,neutral,neutral,5
apk nya orang emosi captcha nya loading mulu orang udh cengap tunggu loading coba jam gk jam gk jam gk bisaa logout nya ntah tiba suruh login ampun banget dh apknya,neutral,neutral,1
layan cepat,positive,positive,5
aplikasi gajelas orang daftar aja sulit kerja ngelag ngelag ga ni aplikasi,negative,negative,5
cs nya ramah makasih,neutral,neutral,5
bantu,neutral,neutral,1
daftar kuota nyaa udh full trs tulis adaa mna banget gabisa daftar kya gin tuh sulit banget,negative,negative,1
bantu aplikasi,neutral,neutral,5
eror susah ngecek daftar antri loading mulu tolong baik aplikasi,neutral,neutral,5
good,neutral,neutral,5
mohon tingkat sistem aman selurah operasi mudah daftar akun login mohon tingkat sistem terima kasih,positive,positive,1
anjur nilai layan yg buka nama aplikasi nama daftar,neutral,neutral,1
login aja susah banget gliran udh login daftar ofline trus tolong baik mudah masyarakat,positive,positive,5
susah daftar online,negative,negative,5
moga mudah teknologi nya,positive,positive,5
ribet masak cheking nyari nomer antri radius km klo gag kuat jangkau ya gag daftar no antre heran kuat radius km lemah,neutral,neutral,5
fleksible,neutral,neutral,5
mudah pasien utk ubah faskes,positive,positive,5
sakit sulit coba berkalikali hasil daftar ambil nomor antre faskes tingkat kota surabaya daftar aplikasi ehealt fitur mobile jkn,negative,negative,5
mudah masyarakat login sulit,neutral,neutral,5
daftar via online pas selesai masukin nik no kk data nya ngawur alias no kk nik cantumin daftar pas cek info serta nama nya ngga kenal aneh,negative,negative,5
istimewa,neutral,neutral,5
apk ga gunaaa,neutral,neutral,1
terimakasih,neutral,neutral,1
verifikasi autodebitnya engga krm ni verifikasi wa skrng blm bsa masuk bayar,neutral,neutral,5
boking fasilitas sehat gigi mulut kuota penuh daftar esok coba daftar malam coba jam pagi status doktor aplikasi kuota pilih status kuota penuh aplikasi faskes sesuai daftar offline aplikasi,neutral,neutral,5
kiamet,neutral,neutral,5
aq q q,neutral,neutral,5
good job,neutral,neutral,5
nambahin serta aja susah bgt kalo udh ketik nik nikah gabisa ilang kalo nambah serta susahhh bgt,negative,negative,5
knp masuk aplikasi ga bs angka nik beda pakai nik sesuai ktp,neutral,neutral,5
sulit pasien mudah,neutral,neutral,1
kalo aplikasi program perintah error dongo it nya,negative,negative,5
amata bantu mudah paham,positive,positive,5
mjkn mudah periksa rs,positive,positive,5
masuk,neutral,neutral,3
kode captcha sdh salah aplikasi gk guna,neutral,neutral,5
beli kacamata pake bpjs dapet ribu pake rujuk dokter spesialis mata pantes iur bpjs bayarin dokter tinggal optik bpjs simpel ga buang uang bayar dokter,neutral,neutral,5
cepat tanggap,positive,positive,5
moga bagus layan,positive,positive,5
aju batal alas salah nama kandung wawan vidio cal blum tugas dokumen asli rugi karna wawancara sesuai jadwal konfirmasi,neutral,neutral,1
profesional,neutral,neutral,1
aplikasi gimana sih dikit logout udah coba login tp selang detik logout lg ya tolong bgt lg eror kah kalo iya tolong bgt baik butuh bgt pake terimakasih,positive,positive,5
aplikasi rusak nya parah aja log in aplikasi layar hitam doank ampe kali up date tetep aja,negative,negative,5
manfaat,neutral,neutral,5
daftar online mudah gak ribet hrs antre,positive,positive,5
bantu makasih mobile jkn,neutral,neutral,1
ga verifikasi wajah sii bikin emosi,neutral,neutral,5
lupa pin ganti pin tpi nmor hp tidk aktif lgi fitur ganti nmor hp tidk,neutral,neutral,5
update annya thanks,neutral,neutral,5
alhamdulillah bantu pindah faskes,neutral,neutral,5
puas layan jkn mobile,positive,positive,1
mantap i like this,positive,positive,2
apalikasi bagus setia urus sehat,positive,positive,1
layan lupa sandi kode otp pungsi bulan kode otp nihil kartu terima kode otp aktif kode nya mudah nyata nya sulit,neutral,neutral,3
sangggat bantu,neutral,neutral,4
cepet aplikasi ny langsung,neutral,neutral,5
aplikasi pakai kendala tolong baik,positive,positive,1
up date,neutral,neutral,3
bantu muas terima kasih,neutral,neutral,5
jelek pis jkn nya susah login mulu,negative,negative,5
daftar verifikasi wajah gagal tolong baik,neutral,neutral,5
ribetbikin ribet proses nyusahin,neutral,neutral,1
gk login salah nik,neutral,neutral,5
surat kontrol rumah sakit laku daftar aplikasi terang surat kontrol,neutral,neutral,5
dafatar jkn salalu ganggu nik gk terdafar dadak masuk paswed,neutral,neutral,1
suka log out sdh kali kali masuk gagal,neutral,neutral,2
bantu,neutral,neutral,5
masuk daftar proses tolong dongini yg salah yah,neutral,neutral,5
respon cepat mohon tahan,positive,positive,1
tolong baik layan administrasi ulang kali ganti alamat via whatsapp pandawa isi alamat yg form tetep salah poto kartu keluarga salah alamat surat alamat kartu,positive,neutral,5
aplikasi sulit orang obat log out pas login gak bs masuk salah pw pdhl pw yg masuk udh bener ujung nya orang jd repot masak obat aja jd sulit gin,negative,negative,1
bantu moga depan,neutral,neutral,5
,neutral,neutral,1
udah akun jkn login mohon baik,positive,positive,5
bantu efisien fasilitas sehat jaman skrg,neutral,neutral,5
terimakasih mobile jkn mudah obat,positive,positive,3
nih aplikasi payah bgt perkara ganti nmr aja susahhh bbgttt klik gbsa gue mo obat woi gimana klo bgni,negative,negative,1
mudah pindah faskes,positive,positive,5
mantab,neutral,neutral,5
aplikasi sih ngirim kode sms aja ga kirim kirim kocak banget nih aplikasi,neutral,neutral,5
verifikasi otp ga,neutral,neutral,1
salam sehat sejahteraterimakasih jkn mudah muas,positive,positive,5
masyarakat suruh pake aplikasitp pas masuk bikin ribetbukan mudah,positive,positive,5
bantu terima kasih jkn,neutral,neutral,5
kode verifikasi masuk no hp mohon baik,positive,positive,5
aja bpjs ni buka app nya ambil antri ga bilang koneksi internet ga buka aman aja,neutral,neutral,5
mudah,positive,positive,5
aplikasi sebal,neutral,neutral,5
captcha muncul susah login,negative,negative,5
payah dh daftar adouit bank mandiri,negative,negative,5
aplikasi nya bgus update sdh bayar kantor bpjs aplikasi tunggak pemberitahuan nya coba perhati bantu aplikasi cuman ribet sja,neutral,neutral,5
aplikasi bantu mudah layan sehat moga,positive,positive,5
aplikasi jelekmau verfikasi sms ga masuk aneh kocakkkkk,negative,negative,5
suka eror percaya susah masuk udah daftar aja eror gak masuk angel,neutral,neutral,1
aplikasi koneksi gagal jaring bagus tolong baik kelas aplikasi perintah bug mana,positive,positive,5
baikbaik,neutral,neutral,5
ambil antre rujuk rs gabisa ya terang data pasien sedia pasien nya daftar tlong,neutral,neutral,4
syukur nikmat sehat tuhan,neutral,neutral,5
mudah dam praktis,positive,positive,5
mudah pakai,positive,positive,5
aplikasi jkn mobile ribet klo buka hrs masuk dr aplikasi gikin tdk guno,neutral,neutral,5
mudah utk akses aplikasi,positive,positive,3
ga d dnwload,neutral,neutral,5
masuk tulis ya melebihn no nik mlu tolong bantu y,neutral,neutral,2
aplikasi sat set,neutral,neutral,1
ga aplikasi pake aja susah login dah daftar sidik jari ga daftar apk konyoll pake chapta m banking aja ga seribet,negative,negative,5
mudah cepat bantu,positive,positive,5
guna,neutral,neutral,5
mantap jkn ok,positive,positive,1
,neutral,neutral,5
gmna liat jadwal dokter mobile jkn,neutral,neutral,5
aplikasi gak bikin emosi ubah no hp gak muncul suruh lengkap no udah bener pas komplain ehh gak discreenshoot gedeg bener bikin emosi,neutral,neutral,2
aplikasi bagustapi sayang obat bagus,positive,positive,1
najis amit aplikasi kagak niat orang bikin aplikasi sumpah,neutral,neutral,5
bantu keluarga,neutral,neutral,5
puas layan,positive,positive,5
jkn mobile ok banget,neutral,neutral,5
ribet,neutral,neutral,5
bagus alam ribet,positive,positive,5
gimana sih verifkasi whatsapp sms gak bisasystemnya hebatberkali kali hari gak bisadi ulang gak lagihemm buang buang aja,neutral,neutral,1
terimakasih aplikasi jkn nya sdh buka,neutral,neutral,5
kepala keluarga jkn kis pas anggota keluargaistri ko ga ya tolong nya daftar karna kepala keluarga orang,neutral,neutral,5
ga aplikasi ny dibenerin masuk ga bisamana kl udah salah sandi kali blokir,neutral,neutral,5
sangatmbantu,neutral,neutral,5
aplikasi sampah kirim code verifikasi respon caloncalon korupsi habis anggar nagara,negative,negative,5
buka aplikasi suruh daftar mulu nik sandikl buka haris sandi oke lahlaaa inigak,positive,positive,1
mudah antre kantor bpjs,positive,positive,1
coba kartu otp nggak masuk masuk normal nggak sih aplikasi baca komen masalah hadehhh,negative,negative,1
aplikasi jelek gabisa buka kali kali,negative,negative,5
manfaat terima kasih,neutral,neutral,4
gampang urus,neutral,neutral,4
anak sakit aplikasi sulit login kali nik salah nomor kartu salah bayar dgn gaji pakai bikin emosi tolong mudah utk masyarakat awam jgn inovasi tp tdk manfaat ken nang,neutral,neutral,5
aplikasi jkn bantu bagus,positive,positive,3
aplikasi rusakotp kirim,neutral,neutral,1
ngganti no hp aja susah ampun rakyat,negative,negative,1
aplikasi nya bagus bantu,positive,positive,5
bantu mudah terima kasih mobile jkn,positive,positive,4
aplikasi gajelas,neutral,neutral,1
daftar gigi susah banget anak udah sakit daftar gigi susah banget aplikasi bilang udah close mulu nomor gilir langsung dapet no udah ambil jam,negative,negative,5
daftar online,neutral,neutral,3
mudah pindah faskestrm ksh,positive,positive,2
suka otomatis logout terang login device udah ganti password ui ux nya tolong baik,positive,positive,5
mudah kah sehat,positive,positive,5
masuk no telepon verifikasi ga muncul pilihannyamasih bagus sih,positive,positive,1
aplikasi bantu skaliga pake ribet,neutral,neutral,5
gajelas yg bikin aplikasi kayak magang kode otp gk masuk aplikasi perintah susah rakyat tebak anggar bikin apkv,negative,negative,1
mudah moga amanah,positive,positive,1
udah tau situasi darurat suka eror gak gak buka aneh nya rumah sakit pake aplikasi aplikasi gak eror,neutral,neutral,5
aplikasi aneh masuk daftar kontrol gak offline,negative,negative,5
cepat,positive,positive,1
aplikasi gjls suruh nunggu mulu ratus detik,neutral,neutral,5
recomended,neutral,neutral,5
mudah muas,positive,positive,5
kogh terima kode otp ya,neutral,neutral,5
smeoga depan murah klo gratis pemrintah fokus sehat mbg sampah yg gda guna ok gas sampahh,negative,negative,5
gak nambahin serta apan nik gak tau nik gak hapus,neutral,neutral,5
bagus aplikasi cepat mantap,positive,positive,4
masuk susah otp nya gmn,negative,negative,1
ter logout ribet,neutral,neutral,5
aplikasi jelek booking daftar aja susah ampunbuat aplikasi ujung daftar manual jg not recomended,negative,negative,1
bantu,neutral,neutral,5
bantu informasi sehat mudah layan sehat,positive,positive,5
banyak fitur gak tambah ribet isi form antre,neutral,neutral,5
otp sms pulsa,neutral,neutral,5
apliksi negara bobrok gin cok maun daftar aja ribet kode otp sms gak masuk,neutral,neutral,5
susah ribet,negative,negative,5
maaf anak nomer masuk dalam serta mobil jkn kk masuk terimakasih,neutral,neutral,1
baharu mulu abis baharu lot gak d buka,neutral,neutral,5
mudah akurat simple,positive,positive,1
gooodd,neutral,neutral,3
bagus layan ya,positive,positive,5
sagatt puasss,neutral,neutral,5
aplikasi anjingggg tugas bpjs sehat suruh lupa sandi aja udah dilakuin tetep aja ga dah lohhhhh kek gin rs nunggu goblokkkkkkkk bgt nih aplikasi,neutral,neutral,1
bgt eror tolong kalo lgi eror baik daftar obat ga gara eror,positive,positive,1
aplikasi bantu mudah,positive,positive,5
beda faskes keluarga yg kota moga tahan,neutral,neutral,5
tolol otp ga pake kirim,neutral,neutral,5
gampang,neutral,neutral,5
parah bgt aplikasiiiiiiselalu klo mo login jd gk trs tar bilang no nik salah trs pdhlh udh benerpas genting mo brobat bikin ribet gtu jahat bgt,negative,negative,1
sy tdk bs verifikasi akun sy tolong respon,neutral,neutral,3
apk aneh gak daftar kode otp nomor hp nya gak kirim kirim aneh baget,negative,negative,5
bermnfaat,neutral,neutral,5
bantu,neutral,neutral,5
nyata offline paket data internet wifi baru tolong bantu daftar pol susah gara aplikasi,negative,negative,5
good performance,neutral,neutral,5
aplikasi rusak gin daftar ktnya pulsa gak gilir pulsa isi tetep gak gak banget,negative,negative,5
keren aplikasinyaaa membantuu,neutral,neutral,5
membnatu,neutral,neutral,5
apk jahanam,neutral,neutral,4
ko non aktp yah kis nya,neutral,neutral,5
webnya bapuk satset gk,neutral,neutral,3
anggota faskes kelas ayoo menkes jgn sulit pbi uang yg bayar uang gotong royong dri rakyat indonesia yg keluarga miskin,negative,negative,5
apk perintah ko hancur kode otp lupa sandi aja sms udh ulang gak masuk mudah apk rued,positive,positive,5
loding aja minggu periksa ga gara gara aplikasi ga buka,neutral,neutral,3
bantu cepat merespon,positive,positive,1
hubung dg bpjs mudah mobile bpjs,positive,positive,1
informasi lengkap,neutral,neutral,1
baik,positive,positive,5
hiiiii gemes aplikasi,neutral,neutral,1
logout logout ya udah masukin sandi bener bener salah,neutral,neutral,5
baguuuusss sekaliii sangaaat membantuuu,neutral,neutral,2
alami kendala masuk akun sms verifikasi,neutral,neutral,1
layan ok,neutral,neutral,5
apk bikin ribet pasien buruburu ken obat login ambil antri susah banget,negative,negative,4
kali ubah data aplikasi jkn gagal koneksi internet bagus,neutral,neutral,3
bantu bnget dr call centercall center nya sbaar ramahtrmksh,neutral,neutral,5
praktis nenbantu,neutral,neutral,5
efisien,neutral,neutral,5
abis update jdi susah login hadeh aplikasi poak bego banget yg bikin,negative,negative,5
logout benerbener susah banget login lagilogin nomor udah dimasukin bener nunggu verifikasi detik gila sih kode gak masuk smshadeehhhh gimana sih tolong benah mudah ribet iya tau gak orang bayar iur gratis mentang mentang gratis sulit gin bayar pajak,negative,negative,1
alas indonesia gak maju aplikasi aja ruwet login nunggu detik niat aplikasi gak jkn jmo,neutral,neutral,5
aplikasi buruk kirim sms verifikasi no hp,negative,negative,5
ribet bu,neutral,neutral,5
aplikasi sihudah isi jugak data nya gak jalan udah pas email nya masalah,negative,negative,5
pakai aplikasi monile jkn ubah faskes mudah gaperlu antri kantor bpjs,positive,positive,4
update gak booking antri anggota keluarga ya nya nama dipake akun doang,neutral,neutral,1
login daftar pas daftar bilang nya udah daftar paswor salah la bikin lupa pasword kode verivikasi gak kirim kirim kerja it nya gak becus tidur aja,neutral,neutral,5
bantu moga maju kembang,neutral,neutral,1
aplikasi dukung,neutral,neutral,5
aplikasi jkn mudah layan,positive,positive,5
mudah laku,positive,positive,5
gangguansudah verifikasi tpi fitur yg pakai tolong kerjasamanya,neutral,neutral,1
ruwet daftar,neutral,neutral,1
antri rujuk ubah booking lusa pas cek h expire ambil antre minggu gimana klo kritis hadehh,neutral,neutral,5
bagus mudah,positive,positive,1
tolong bikin aplikasi yg bener loginnya susah gak daftar no antre mudah sulit orang,negative,negative,1
nomor induk pensudukan salah x maha gaes,neutral,neutral,1
login gak pdahl nik bnar pasword jg bnar knp susah sekli login aja,negative,negative,1
apk gk jlsbolak erorgk bsa login akun uda parah,negative,negative,5
bagus,positive,positive,5
praktis bantu layan,neutral,neutral,3
daftar kuota penuh daftar tutup antri coba kali samatolong mudah,positive,positive,1
bagus tingkatin lg aplikasi layan nya,positive,positive,3
perintah bikin susah orang ngasih bijak anak wajib daftar bpjs orang tua bayar rb parah banget,negative,negative,1
bantu rakyat indonesia yg terimakasih program perintah,neutral,neutral,1
aplikasi manfaat,neutral,neutral,1
masuk terang lebih nik masuk butuh ambil antre kontrol gimana solusi,positive,positive,5
bantu proses periksa sehat,neutral,neutral,5
memoermudah proses daftar kontrol info sehat butuh,neutral,neutral,1
aplikasi utama eror,neutral,neutral,1
tolong mudah rubah data serta mobile jkn,positive,positive,5
good aplikasi bantu,neutral,neutral,5
syuka,neutral,neutral,1
aplikasi stelah update kendala posisi urgent bpsj sreensoht kirim email kartu bpjs gita ga masuk spam kota masuk hp jkn akun repot pasien urgent saran screenshot buka lgi efesien,negative,negative,1
verifikasi wajah gagal tolong baik,neutral,neutral,1
